latitude,longitude,elevation,time
52.4285715,22.861763,143.2,
52.428277,22.852917,141.7,
52.42892,22.849534,141.6,
52.42923,22.847847,140.0,
52.433889,22.82592,156.2,
52.436711,22.801072,155.8,
52.438257,22.788862,141.8,
52.438438,22.786994,140.5,
52.43854,22.78415,137.8,
52.438641,22.78348,138.7,
52.438728,22.782965,139.4,
52.439078,22.781973,137.4,
52.439202,22.781666,137.0,
52.438311,22.779238,133.0,
52.433545,22.764457,159.3,
52.433298,22.763452,159.0,
52.433006,22.762754,158.0,
52.432418,22.760762,152.8,
52.431164,22.756284,150.0,
52.43013,22.754906,148.9,
52.429836,22.754373,148.8,
52.424043,22.742227,140.7,
52.420736,22.734494,135.4,
52.42036,22.733874,136.7,
52.420267,22.733761,137.0,
52.420256,22.733292,137.7,
52.424521,22.712699,153.9,
52.42457,22.712293,154.0,
52.424573,22.711532,154.0,
52.424333,22.70082,159.8,
52.424057,22.700508,160.8,
52.422663,22.698807,159.8,
52.422516,22.698541,159.8,
52.417647,22.692377,160.0,
52.415919,22.689674,155.7,
52.407527,22.677077,150.5,
52.405292,22.673789,152.5,
52.401802,22.665678,148.3,
52.401151,22.664337,145.4,
52.401007,22.664031,145.4,
52.400927,22.664311,145.9,
52.398062,22.682506,149.0,
52.397998,22.683042,147.2,
52.398096,22.683141,147.1,
52.398012,22.683224,146.6,
52.397919,22.683462,145.7,
52.396322,22.693284,126.4,
52.395477,22.697186,121.3,
52.394491,22.700602,123.8,
52.394189,22.702752,124.8,
52.393619,22.705461,122.6,
52.39335,22.706273,121.3,
52.393056,22.707895,122.2,
52.392477,22.710319,124.1,
52.392001,22.711677,124.2,
52.391419,22.714265,126.0,
52.391372,22.714754,126.2,
52.391477,22.716712,131.0,
52.391372,22.717039,130.3,
52.391456,22.716683,130.7,
52.391406,22.717112,131.3,
52.3917,22.718026,134.8,
52.391866,22.719167,136.2,
52.392362,22.725385,145.8,
52.394467,22.745951,144.7,
52.394104,22.744622,144.8,
52.394463,22.745947,144.7,
52.394677,22.747756,145.9,
52.397008,22.770908,123.1,
52.397034,22.772556,119.5,
52.397104,22.772731,119.8,
52.396578,22.771386,120.8,
52.396392,22.771041,120.0,
52.39583,22.770289,118.0,
52.395589,22.770184,118.6,
52.395261,22.770296,118.7,
52.393881,22.771311,116.6,
52.385003,22.77738,114.9,
52.38115,22.780133,115.1,
52.380924,22.780337,115.4,
52.380734,22.780711,115.5,
52.380397,22.781819,116.6,
52.380102,22.784666,117.4,
52.379925,22.784991,117.0,
52.37949,22.785163,117.0,
52.379256,22.785381,117.0,
52.378656,22.78652,117.0,
52.378435,22.786818,116.8,
52.378249,22.78701,116.6,
52.378001,22.787146,116.4,
52.377784,22.787314,116.2,
52.377106,22.788762,118.0,
52.376866,22.788967,118.5,
52.376596,22.789293,118.8,
52.37622,22.791189,117.8,
52.375953,22.79327,117.8,
52.375092,22.802431,118.9,
52.374956,22.808469,116.7,
52.375335,22.811387,114.6,
52.375318,22.811854,114.4,
52.374953,22.813673,114.4,
52.375225,22.815339,114.6,
52.377036,22.822225,114.7,
52.376797,22.822606,115.0,
52.374275,22.825614,116.0,
52.372046,22.828863,114.5,
52.371892,22.829184,114.7,
52.372275,22.830468,114.8,
52.372486,22.831385,114.1,
52.372983,22.834342,114.6,
52.372984,22.83477,115.4,
52.372289,22.837502,115.8,
52.372,22.838081,116.5,
52.371463,22.838801,116.4,
52.370223,22.840032,116.5,
52.370088,22.840104,117.0,
52.369666,22.840166,117.8,
52.368895,22.840095,118.7,
52.368473,22.839966,119.6,
52.368271,22.839969,119.7,
52.368092,22.8402,118.7,
52.366509,22.844209,119.8,
52.36639,22.844626,119.0,
52.366358,22.844988,118.9,
52.366261,22.846447,118.5,
52.366571,22.847998,120.4,
52.366785,22.850085,127.4,
52.366774,22.850516,127.6,
52.366862,22.850815,128.0,
52.366962,22.851185,128.0,
52.369776,22.855638,122.9,
52.369936,22.856022,122.8,
52.370268,22.857432,124.3,
52.370322,22.857764,124.9,
52.370324,22.85805,125.5,
52.370251,22.858721,126.4,
52.369555,22.861318,127.8,
52.369389,22.863775,123.0,
52.369007,22.865829,119.6,
52.368793,22.868057,120.0,
52.368593,22.868443,120.0,
52.368244,22.868978,119.9,
52.367573,22.871475,120.3,
52.367447,22.872271,119.6,
52.367541,22.872674,118.9,
52.36787,22.872836,118.1,
52.376987,22.876402,118.8,
52.378047,22.876736,122.0,
52.378585,22.876791,123.3,
52.378844,22.876784,123.2,
52.379099,22.876747,123.6,
52.38096,22.875917,127.0,
52.384617,22.873722,124.1,
52.385298,22.873533,124.9,
52.38724,22.872882,126.9,
52.391639,22.870805,129.0,
52.392301,22.870583,128.7,
52.393393,22.870466,128.5,
52.393592,22.870724,127.8,
52.393607,22.870798,127.3,
52.393607,22.870798,127.3,
52.393778,22.870535,129.3,
52.394052,22.870451,131.5,
52.395462,22.870819,131.5,
52.401257,22.871216,132.0,
52.40141,22.87092,132.6,
52.40145,22.87086,132.7,
52.401691,22.871205,132.7,
52.402774,22.871287,136.5,
52.408417,22.871352,139.2,
52.408912,22.871305,140.4,
52.412178,22.870397,136.2,
52.416273,22.869166,132.5,
52.416819,22.868954,133.7,
52.417483,22.868803,134.9,
52.417908,22.868554,136.0,
52.418775,22.868298,137.5,
52.418775,22.868298,137.5,
52.422862,22.866702,144.9,
52.423099,22.866577,145.3,
52.424977,22.864992,146.1,
52.425218,22.864812,146.6,
52.425557,22.864594,145.8,
52.427154,22.863951,144.9,
52.427345,22.863698,145.1,
52.427345,22.863698,145.1,
52.427702,22.863611,144.9,
52.428041,22.863501,144.7,
52.428349,22.863202,143.9,
52.4285715,22.861763,143.2,
